t,x,y,z
10.40903,19820.2,2211.0,45633.0
10.40972,19819.8,2211.2,45633.2
10.41042,19819.7,2211.3,45632.8
10.41111,19819.2,2211.4,45632.6
10.41181,19819.6,2211.3,45632.7
10.4125,19819.6,2210.9,45632.5
10.41319,19819.8,2210.6,45632.1
10.41389,19819.7,2210.7,45632.3
10.41458,19819.7,2210.7,45631.8
10.41528,19819.8,2210.0,45631.6
10.41597,19819.5,2209.5,45631.6
10.41667,19819.8,2208.9,45631.2
10.41736,19819.6,2208.9,45631.4
10.41806,19819.5,2208.9,45631.6
10.41875,19819.4,2208.9,45631.3
10.41944,19819.1,2208.1,45631.5
10.42014,19819.3,2208.0,45631.1
10.42083,19819.2,2208.0,45630.7
10.42153,19818.4,2208.2,45631.3
10.42222,19818.3,2208.1,45631.7
10.42292,19818.3,2208.1,45632.7
10.42361,19818.7,2207.9,45632.2
10.42431,19818.9,2207.9,45630.8
10.425,19818.7,2207.8,45630.6
10.42569,19818.9,2207.1,45631.1
10.42639,19819.5,2206.9,45631.0
10.42708,19819.8,2207.1,45631.3
10.42778,19819.6,2207.6,45631.8
10.42847,19819.5,2207.8,45631.6
10.42917,19819.6,2207.9,45631.6
10.42986,19819.3,2207.3,45631.5
10.43056,19819.8,2206.4,45631.2
10.43125,19820.0,2206.1,45631.4
10.43194,19820.1,2206.3,45631.6
10.43264,19820.5,2206.1,45631.4
10.43333,19820.5,2205.8,45631.3
10.43403,19820.2,2206.3,45631.3
10.43472,19820.1,2206.6,45631.5
10.43542,19819.6,2206.8,45632.2
10.43611,19820.3,2206.2,45630.9
10.43681,19820.6,2204.9,45630.3
10.4375,19820.4,2204.5,45631.0
10.43819,19819.9,2204.6,45631.4
10.43889,19820.3,2204.8,45630.5
10.43958,19819.7,2205.4,45630.5
10.44028,19819.1,2206.0,45630.8
10.44097,19817.8,2206.8,45631.6
10.44167,19819.2,2206.7,45630.4
10.44236,19819.6,2206.6,45630.6
10.44306,19819.4,2206.8,45631.2
10.44375,19820.1,2206.2,45630.9
10.44444,19820.3,2205.0,45631.2
10.44514,19821.1,2204.0,45631.1
10.44583,19821.2,2203.4,45630.8
10.44653,19821.0,2202.6,45630.8
10.44722,19820.5,2202.2,45631.2
10.44792,19820.1,2202.2,45631.1
10.44861,19820.2,2202.8,45631.0
10.44931,19820.0,2203.1,45631.4
10.45,19819.8,2203.4,45631.2
10.45069,19819.9,2202.7,45631.3
10.45139,19820.8,2201.7,45631.0
10.45208,19820.4,2201.0,45630.4
10.45278,19820.0,2200.6,45630.2
10.45347,19820.1,2200.2,45630.3
10.45417,19820.2,2200.0,45630.0
10.45486,19820.4,2199.5,45629.9
10.45556,19820.7,2198.8,45629.8
10.45625,19820.8,2198.2,45629.7
10.45694,19820.9,2197.6,45629.3
10.45764,19820.4,2196.9,45630.5
10.45833,19820.0,2196.4,45630.3
10.45903,19820.1,2195.6,45629.8
10.45972,19819.9,2195.9,45629.5
10.46042,19819.2,2196.0,45630.0
10.46111,19818.6,2196.7,45629.9
10.46181,19818.0,2197.0,45629.8
10.4625,19817.9,2196.8,45629.5
10.46319,19817.9,2196.6,45629.6
10.46389,19818.0,2195.7,45629.1
10.46458,19818.1,2195.1,45629.4
10.46528,19817.9,2196.2,45629.7
10.46597,19817.8,2196.4,45629.5
10.46667,19817.6,2196.3,45629.7
10.46736,19817.1,2196.7,45629.9
10.46806,19816.9,2196.1,45630.8
10.46875,19817.6,2196.0,45629.9
10.46944,19817.3,2196.3,45629.8
10.47014,19817.5,2196.5,45629.3
10.47083,19817.4,2196.5,45629.4
10.47153,19816.6,2197.3,45630.2
10.47222,19816.1,2197.8,45630.2
10.47292,19816.5,2197.7,45629.7
10.47361,19817.0,2197.4,45630.3
10.47431,19817.2,2197.3,45630.6
10.475,19816.6,2198.2,45630.9
10.47569,19816.9,2198.6,45630.7
10.47639,19816.9,2198.9,45631.2
10.47708,19817.3,2199.4,45631.3
10.47778,19817.7,2199.3,45631.5
10.47847,19817.8,2199.0,45631.8
10.47917,19818.2,2199.0,45631.7
10.47986,19818.7,2197.5,45632.0
10.48056,19819.7,2196.0,45631.4
10.48125,19819.3,2196.1,45631.4
10.48194,19818.3,2198.2,45631.6
10.48264,19816.9,2198.9,45632.6
10.48333,19816.6,2199.1,45632.6
10.48403,19817.3,2199.0,45632.4
